Sample ID	Day	Scat ID	Individual	Date	Scat Moisture Level	Soil Moisture Level	Sampling Time	Scat Used for Extraction (mg)	Original Qubit Concentration (ng/mL)	Original Volume (uL)	Original ng DNA Available	SV	SV-WGA	Pre-SV WGA
OM2-04	4	OM2	Nuka	9/18/2024	Dry	Dry+	12:40	101	99	98	9.702	C	Y	N
OM2-05	5	OM2	Nuka	9/19/2024	Nor	Dry+	12:30	79	3900	98	382.2	U	NA	N
OM2-07	7	OM2	Nuka	9/21/2024	Dry	Dry+	12:45	111	1150	98	112.7	U	NA	N
OM2-06	6	OM2	Nuka	9/20/2024	Nor	Dry+	13:00	103	2130	98	208.74	U	NA	N
YU1-00	0	YU1	Yukon	9/12/2024	Nor	Wet+	16:20	106	249	98	24.402	C	Y	N
YU1-01	1	YU1	Yukon	9/13/2024	Nor	Dry	14:00	60	5500	98	539	U	NA	N
YU1-02	2	YU1	Yukon	9/14/2024	Dry	Dry	15:00	102	174	98	17.052	C	Y	N
YU1-03	3	YU1	Yukon	9/15/2024	Wet	Dry	13:45	50	266	98	26.068	C	Y	N
YU1-04	4	YU1	Yukon	9/16/2024	Nor	Dry	12:40	92	206	98	20.188	C	Y	N
YU1-05	5	YU1	Yukon	9/17/2024	Nor	Dry+	13:00	90	985	98	96.53	U	NA	N
YU1-06	6	YU1	Yukon	9/18/2024	Nor	Dry	12:40	67	13700	98	1342.6	U	NA	N
YU1-07	7	YU1	Yukon	9/19/2024	Dry	Dry+	12:30	41	5320	98	521.36	U	NA	N
YU2-00	0	YU2	Yukon	9/13/2024	Nor	Dry	14:00	93	515	98	50.47	C	NA	N
YU2-01	1	YU2	Yukon	9/14/2024	Wet	Dry	15:00	38	34.6	86	2.9756	C	Y	Y
YU2-02	2	YU2	Yukon	9/15/2024	Wet	Dry+	13:45	104	93	98	9.114	C	Y	N
YU2-03	3	YU2	Yukon	9/16/2024	Wet	Dry+	12:40	100	1320	98	129.36	U	NA	N
YU2-04	4	YU2	Yukon	9/17/2024	Nor	Dry+	13:00	100	805	98	78.89	C	NA	N
YU2-05	5	YU2	Yukon	9/18/2024	Wet	Dry+	12:40	99	765	98	74.97	C	NA	N
YU2-06	6	YU2	Yukon	9/19/2024	Dry	Dry+	12:30	110	132	98	12.936	C	Y	N
YU2-07	7	YU2	Yukon	9/20/2024	Dry+	Dry+	13:00	63	1880	98	184.24	U	NA	N
YU3-00	0	YU3	Yukon	9/14/2024	Dry	Dry	15:00	97	73	94	6.862	C	Y	Y
YU3-01	1	YU3	Yukon	9/15/2024	Wet	Dry	13:45	113	317	98	31.066	C	Y	N
YU3-02	2	YU3	Yukon	9/16/2024	Wet	Dry	12:40	76	1670	98	163.66	U	NA	N
YU3-03	3	YU3	Yukon	9/17/2024	Nor	Dry+	13:00	77	121	98	11.858	C	Y	N
YU3-04	4	YU3	Yukon	9/18/2024	Dry	Dry	12:40	97	187	98	18.326	C	Y	N
YU3-05	5	YU3	Yukon	9/19/2024	Nor	Dry+	12:30	62	750	98	73.5	C	NA	N
YU3-06	6	YU3	Yukon	9/20/2024	Dry	Dry+	13:00	36	671	98	65.758	C	NA	N
YU3-07	7	YU3	Yukon	9/21/2024	Dry	Dry+	12:45	50	2410	98	236.18	U	NA	N
00-N	0	Blank	Blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA
00-NA	0	Blank	Blank	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	Y
00-S	0	Blank	Blank	NA	NA	NA	NA	NA	NA	NA	NA	C	N	NA
00-SA	0	Blank	Blank	NA	NA	NA	NA	NA	NA	NA	NA	C	Y	NA
