SampleID,ScatID,Individual,Date,Day,Scat_Moisture,Soil_Moisture,Sampling_Time,Scat_Extracted,Qubit,Volume,DNA_Available,SpeedVac,WGA,Notes
NU3-06,NU3,unknown,9/21/2024,6,Dry,Dry+,12:45,98,2310,37,85.47,Y,N,Partially covered in white fuzz
NU3-07,NU3,unknown,9/22/2024,7,Nor,Dry+,11:50,27,2850,98,279.3,N,N,Partially covered in white fuzz
OM1-00,OM1,Omak,9/13/2024,0,Nor,Dry,14:00,57,59000,18,1062,Y,Y,Deposited 9:30AM
OM1-01,OM1,Omak,9/14/2024,1,Dry,Dry,15:00,103,60000,18,1080,Y,Y,
OM1-02,OM1,Omak,9/15/2024,2,Dry,Dry,13:45,72,51000,122,6222,Y,Y,
OM1-03,OM1,Omak,9/16/2024,3,Dry,Dry,12:40,41,55000,102,5610,Y,Y,
OM1-04,OM1,Omak,9/17/2024,4,Dry,Dry+,13:00,42,58000,122,7076,Y,Y,
OM1-05,OM1,Omak,9/18/2024,5,Dry,Dry,12:40,87,59000,18,1062,Y,Y,
OM1-06,OM1,Omak,9/19/2024,6,Dry,Dry+,12:30,92,59000,122,7198,Y,Y,
OM1-07,OM1,Omak,9/20/2024,7,Dry,Dry+,13:00,59,60000,18,1080,Y,Y,
OM2-00,OM2,Omak,9/14/2024,0,Nor,Dry,15:00,84,1400,98,137.2,N,N,"Morning, best guess Omak"
OM2-01,OM2,Omak,9/15/2024,1,Dry,Dry+,13:45,72,51000,18,918,Y,Y,
OM2-02,OM2,Omak,9/16/2024,2,Wet,Dry+,12:40,92,57000,18,1026,Y,Y,
OM2-03,OM2,Omak,9/17/2024,3,Wet,Dry+,13:00,52,1220,98,119.56,N,N,
OM2-04,OM2,Omak,9/18/2024,4,Dry,Dry+,12:40,101,60000,64,3840,Y,Y,
OM2-05,OM2,Omak,9/19/2024,5,Nor,Dry+,12:30,79,3900,98,382.2,N,N,
OM2-06,OM2,Omak,9/20/2024,6,Nor,Dry+,13:00,103,2130,96,204.48,N,N,Covered in white fuzz
OM2-07,OM2,Omak,9/21/2024,7,Dry,Dry+,12:45,111,1150,98,112.7,N,N,Covered in white fuzz
YU1-00,YU1,Yukon,9/12/2024,0,Nor,Wet+,16:20,106,53000,64,3392,Y,Y,Deposited overnight
YU1-01,YU1,Yukon,9/13/2024,1,Nor,Dry,14:00,60,5500,98,539,N,N,
YU1-02,YU1,Yukon,9/14/2024,2,Dry,Dry,15:00,102,51000,18,918,Y,Y,
YU1-03,YU1,Yukon,9/15/2024,3,Wet,Dry,13:45,50,55000,36,1980,Y,Y,
YU1-04,YU1,Yukon,9/16/2024,4,Nor,Dry,12:40,92,45200,64,2892.8,Y,Y,
YU1-05,YU1,Yukon,9/17/2024,5,Nor,Dry+,13:00,90,985,98,96.53,N,N,
YU1-06,YU1,Yukon,9/18/2024,6,Nor,Dry,12:40,67,13700,98,1342.6,N,N,Covered in white fuzz
YU1-07,YU1,Yukon,9/19/2024,7,Dry,Dry+,12:30,41,5320,98,521.36,N,N,Covered in white fuzz
YU2-00,YU2,Yukon,9/13/2024,0,Nor,Dry,14:00,93,1990,37,73.63,Y,N,Picked up 8AM
YU2-01,YU2,Yukon,9/14/2024,1,Wet,Dry,15:00,38,60000,18,1080,Y,Y,
YU2-02,YU2,Yukon,9/15/2024,2,Wet,Dry+,13:45,104,59000,18,1062,Y,Y,
YU2-03,YU2,Yukon,9/16/2024,3,Wet,Dry+,12:40,100,1320,98,129.36,N,N,Covered in white spots
YU2-04,YU2,Yukon,9/17/2024,4,Nor,Dry+,13:00,100,1630,37,60.31,Y,N,Covered in white fuzz
YU2-05,YU2,Yukon,9/18/2024,5,Wet,Dry+,12:40,99,2210,37,81.77,Y,N,Covered in white fuzz
YU2-06,YU2,Yukon,9/19/2024,6,Dry,Dry+,12:30,110,43800,18,788.4,Y,Y,Covered in white fuzz
YU2-07,YU2,Yukon,9/20/2024,7,Dry+,Dry+,13:00,63,1880,98,184.24,N,N,Covered in white fuzz
YU3-00,YU3,Yukon,9/14/2024,0,Dry,Dry,15:00,97,29300,18,527.4,Y,Y,Picked up 7AM
YU3-01,YU3,Yukon,9/15/2024,1,Wet,Dry,13:45,113,46300,18,833.4,Y,Y,
YU3-02,YU3,Yukon,9/16/2024,2,Wet,Dry,12:40,76,1670,98,163.66,N,N,
YU3-03,YU3,Yukon,9/17/2024,3,Nor,Dry+,13:00,77,58000,18,1044,Y,Y,
YU3-04,YU3,Yukon,9/18/2024,4,Dry,Dry,12:40,97,32600,18,586.8,Y,Y,Covered in white fuzz
YU3-05,YU3,Yukon,9/19/2024,5,Nor,Dry+,12:30,62,2280,37,84.36,Y,N,Covered in white fuzz
YU3-06,YU3,Yukon,9/20/2024,6,Dry,Dry+,13:00,36,2040,37,75.48,Y,N,Covered in white fuzz
YU3-07,YU3,Yukon,9/21/2024,7,Dry,Dry+,12:45,50,2410,98,236.18,N,N,Covered in white fuzz
00-N,blank,blank,NA,NA,NA,NA,NA,NA,5,98,0.49,N,N,negative control (normal protocol)
00-NA,blank,blank,NA,NA,NA,NA,NA,NA,134,18,2.412,N,Y,negative control with WGA
00-S,blank,blank,NA,NA,NA,NA,NA,NA,5,37,0.185,Y,N,negative control with speed vac
00-SA,blank,blank,NA,NA,NA,NA,NA,NA,165,18,2.97,Y,Y,negative control with speed vac and WGA
